insee_code,total_rooftops,pv_rooftops_count
02399,675,8
02400,180,2
02401,413,1
02402,61,0
02403,457,4
02404,297,2
02405,764,3
02406,167,0
02407,231,1
02408,11876,59
02409,380,1
02410,277,4
02411,258,1
02412,108,0
02413,255,0
02414,346,2
02415,142,1
02416,716,3
02417,162,4
02418,373,0
02419,424,3
02420,641,6
02421,149,0
02422,877,1
02423,535,0
02424,121,0
02425,223,2
02426,567,4
02427,192,2
02428,145,0
02429,168,0
02430,1166,2
02431,408,8
02432,247,0
02433,308,4
02435,105,0
02438,302,0
02439,1228,3
02440,253,0
02441,298,1
02442,156,3
02443,270,1
02444,171,0
02445,390,4
02446,116,3
02447,167,1
02448,208,1
02449,104,0
02450,536,1
02451,139,0
02452,288,4
02453,568,2
02454,474,2
02455,325,2
02456,510,3
02457,399,2
02458,1377,8
02459,215,4
02460,254,1
02461,455,4
02462,266,1
02463,138,0
02464,326,4
02465,580,2
02466,178,0
02467,93,0
02468,2054,11
02469,652,3
02470,614,2
02471,175,1
02472,584,0
02473,212,1
02474,368,1
02476,688,4
02477,815,5
02478,262,1
02480,392,1
02481,379,5
02482,75,0
02483,618,3
02484,453,3
02485,129,0
02486,122,1
02487,540,3
02488,193,0
02489,363,3
02490,236,2
02491,538,5
02492,456,3
02493,262,1
02494,216,4
02495,977,11
02496,137,4
02497,880,10
02498,888,4
02499,57,0
02500,917,7
02501,147,1
02502,1179,4
02503,826,4
02504,1248,7
02505,448,2
02506,234,2
02507,57,1
02508,180,1
02509,204,0
02510,171,1
02511,353,9
02512,360,1
02513,240,0
02514,835,7
02515,117,0
02516,102,0
02517,342,0
02518,641,2
02519,273,4
02520,802,0
02521,1229,16
02522,118,0
02523,96,2
02524,654,4
02525,644,3
02526,189,1
02527,731,6
02528,412,5
02529,246,4
02530,148,1
02531,198,0
02532,1007,7
02533,163,1
02534,91,2
02535,229,1
02536,129,0
02537,243,2
02538,131,1
02539,657,6
02540,971,17
02541,458,3
02542,109,0
02543,1876,8
02544,599,0
02545,250,3
02546,227,1
02547,149,1
02548,407,6
02549,855,7
02550,242,2
02551,128,3
02552,251,4
02553,414,2
02554,885,7
02555,1759,11
02556,146,0
02557,155,2
02558,2347,15
02559,576,1
02560,356,1
02561,147,1
02562,242,2
02563,252,0
02564,824,1
02565,377,3
02566,1019,5
02567,400,0
02568,236,0
02569,550,2
02570,192,0
02571,577,3
02572,409,4
02573,89,0
02574,1408,5
02575,1947,10
02576,298,5
02577,170,0
02578,120,3
02579,194,3
02580,729,3
02581,285,2
02582,168,0
02583,77,1
02584,145,0
02585,283,1
02586,333,0
02587,437,3
02588,120,0
02589,253,5
02590,302,2
02591,214,3
02592,344,0
02593,798,10
02594,167,0
02595,240,2
02596,716,5
02598,573,3
02599,318,4
02600,456,5
02601,174,6
02602,1372,11
02604,87,1
02605,253,4
02606,138,2
02607,100,0
02608,728,1
02609,74,0
02610,615,2
02612,150,1
02613,596,7
02614,279,4
02615,304,1
02616,217,3
02617,594,5
02618,863,5
02619,508,0
02620,527,1
02621,470,2
02622,96,0
02623,188,1
02624,407,0
02625,205,1
02626,448,4
02627,174,1
02628,236,0
02629,419,6
02631,521,9
02632,82,1
02633,100,1
02634,139,3
02635,214,1
02636,326,7
02637,306,1
02638,319,0
02639,456,3
02640,234,0
02641,294,1
02642,335,1
02643,801,6
02644,494,6
02645,310,2
02647,132,2
02648,1957,7
02649,341,2
02650,476,4
02651,145,2
02652,160,3
02653,560,3
02654,118,0
02655,192,3
02656,416,0
02657,313,2
02658,238,1
02659,455,5
02660,87,0
02661,250,1
02662,364,2
02663,230,1
02664,190,0
02665,353,0
02666,1045,6
02667,279,0
02668,1302,13
02670,291,0
02671,280,5
02672,288,0
02673,592,9
02674,114,1
02675,227,2
02676,1913,17
02677,239,1
02678,91,2
02679,200,2
02680,2002,10
02681,374,3
02682,176,2
02683,174,1
02684,2836,15
02685,137,0
02686,584,7
02687,447,1
02688,120,0
02689,129,0
02690,156,1
02691,29063,133
02693,334,3
02694,597,5
02696,191,0
02697,341,5
02698,132,0
02699,322,1
02701,766,6
02702,552,5
02703,1022,10
02704,305,3
02705,280,3
02706,511,3
02707,214,1
02708,236,4
02709,507,0
02710,652,10
02711,383,0
02712,290,2
02713,384,0
02714,316,0
02715,82,0
02716,356,3
02717,721,11
02718,183,1
02719,2103,15
02720,1890,15
02721,657,6
02722,10683,45
02723,166,1
02724,118,0
02725,211,3
02726,166,0
02727,309,2
02728,485,3
02729,164,3
02730,392,0
02731,309,2
02732,162,1
02734,313,1
02735,66,1
02736,225,1
02737,743,9
02738,10016,58
02739,305,4
02740,428,3
02741,782,2
02742,140,0
02743,232,2
02744,150,1
02745,147,0
02746,760,12
02747,104,0
02748,1410,8
02749,223,1
02750,735,8
02751,186,0
02752,338,2
02753,382,4
02754,314,3
02755,490,2
02756,709,10
02757,690,5
02758,1989,12
02759,361,2
02760,249,0
02761,200,1
02762,226,3
02763,233,0
02764,145,2
02765,234,2
02766,255,2
02767,316,2
02768,509,7
02769,925,7
02770,714,5
02772,145,1
02773,78,0
02774,130,1
02775,1096,8
02776,649,2
02777,329,0
02778,175,2
02779,311,5
02780,904,4
02781,427,2
02782,262,2
02783,221,1
02784,229,2
02785,1114,7
02786,179,2
02787,286,0
02788,524,2
02789,1880,17
02790,281,7
02791,344,2
02792,206,1
02793,170,1
02794,274,0
02795,1160,6
02796,236,0
02797,183,0
02798,1164,9
02799,386,0
02800,394,2
02801,454,2
02802,237,0
02803,196,0
02804,207,0
02805,1517,10
02806,405,2
02807,626,6
02808,378,2
02809,166,3
02810,4665,39
02812,230,1
02813,298,4
02814,309,1
02815,453,6
02816,550,1
02817,104,0
02818,874,5
02819,212,3
02820,1759,23
02821,512,9
02822,519,3
02823,126,0
02824,531,2
02826,498,2
02827,340,2
02828,130,0
02829,47,1
02830,900,5
02831,400,3
02832,328,1
02833,532,3
02834,194,3
03001,2668,44
03002,586,7
03003,1746,9
03004,669,9
03005,624,6
03006,2066,16
03007,680,11
03008,832,10
03009,198,0
03010,830,17
03011,584,8
03012,645,11
03013,3144,54
03014,413,6
03015,421,5
03016,276,5
03017,641,8
03018,963,16
03019,2665,36
03020,692,15
03021,440,6
03022,1671,25
03023,6056,113
03024,734,5
03025,1698,33
03026,1139,22
03027,1461,19
03028,633,6
03029,1006,10
03030,1191,16
03031,642,7
03032,462,9
03033,264,11
03034,814,12
03035,590,15
03036,3227,38
03037,595,5
03038,723,10
03039,659,7
03040,1197,23
03041,902,10
03042,1266,18
03043,1558,21
03044,2029,28
03045,1429,24
03046,2037,31
03047,983,16
03048,2632,20
03049,628,10
03050,614,5
03051,741,10
03052,1268,28
03053,1393,23
03054,440,7
03055,1356,20
03056,777,11
03057,510,8
03058,529,12
03059,659,7
03060,976,16
03061,571,22
03062,758,5
03063,1351,25
03064,493,2
03065,776,7
03066,1111,11
03067,453,7
03068,281,4
03069,551,12
03070,397,6
03071,693,10
03072,904,24
03073,710,7
03074,1008,13
03075,294,7
03076,492,5
03077,399,6
03078,689,10
03079,809,9
03080,949,19
03081,588,12
03082,6003,81
03083,915,14
03084,2793,37
03085,815,14
03086,720,9
03087,1427,12
03088,786,7
03089,330,8
03090,552,7
03091,592,5
03092,1339,21
03093,1327,26
03094,3341,81
03095,8368,131
03096,227,0
03097,666,12
03098,4201,59
03099,862,30
03100,1878,29
03101,8175,134
03102,3683,52
03103,1786,18
03104,1829,24
03105,753,10
03106,1776,23
03107,1867,15
03108,798,5
03109,858,15
03110,1166,29
03111,1405,15
03112,1038,28
03113,1184,11
03114,498,11
03115,703,6
03116,363,12
03117,1110,16
03118,5463,87
03119,891,21
03120,1109,18
03121,857,9
03122,589,7
03124,398,9
03125,484,11
03126,1316,20
03127,1212,25
03128,3382,44
03129,654,11
03130,754,16
03131,975,17
03132,928,16
03133,816,9
03134,468,8
03135,776,17
03136,339,7
03137,396,10
03138,3225,46
03139,895,12
03140,1026,10
03141,461,2
03142,820,15
03143,296,2
